Month,Category,Value
Nov 2022,Departures,1.18
Dec 2022,Arrivals,1.26
Dec 2022,Departures,1.52
Jan 2023,Arrivals,1.61
Jan 2023,Departures,1.38
Feb 2023,Arrivals,1.38
Feb 2023,Departures,1.07
Mar 2023,Arrivals,1.34
Mar 2023,Departures,1.32
Apr 2023,Arrivals,1.37
Apr 2023,Departures,1.43
May 2023,Arrivals,1.30
May 2023,Departures,1.36
Jun 2023,Arrivals,1.36
Jun 2023,Departures,1.56
Jul 2023,Arrivals,1.74
Jul 2023,Departures,1.49
Aug 2023,Arrivals,1.54
Aug 2023,Departures,1.52
Sep 2023,Arrivals,1.60
Sep 2023,Departures,1.59
Oct 2023,Arrivals,1.74
Oct 2023,Departures,1.48
Nov 2023,Arrivals,1.56
Nov 2023,Departures,1.59
Dec 2023,Arrivals,1.70
Dec 2023,Departures,2.03
Jan 2024,Arrivals,2.12
Jan 2024,Departures,1.75
Feb 2024,Arrivals,1.79
Feb 2024,Departures,1.49
Mar 2024,Arrivals,1.61
Mar 2024,Departures,1.71
Apr 2024,Arrivals,1.63
Apr 2024,Departures,1.65
May 2024,Arrivals,1.48
May 2024,Departures,1.56
Jun 2024,Arrivals,1.53
Jun 2024,Departures,1.76
Jul 2024,Arrivals,1.93
Jul 2024,Departures,1.65
Aug 2024,Arrivals,1.66
Aug 2024,Departures,1.70
